ts_code,cost_price,price
CC8767E,,30.08
CC8766E,,22.77
CC8728A,,21.14
CC8765E,,21.14
CC6657A,,31.71
CT0530,,24.39
CT0529,,22.77
CC6615D,,29.27
CC6578A,,32.52
CCL51,,17.89
CCL41,,17.89
CPG40,,14.64
C10N0016,,30.90
CPG50,,18.70
C406990,,48.78
C593-10051,,121.95
C3000BK,,28.46
C44059108,,32.52
C44844615,,85.37
C44973512,,48.78
C44973511,,56.91
C44973510,,56.91
C44973509,,56.91
C44059211,,81.30
C44844616,,52.85
C44844614,,85.37
C44844613,,85.37
CC8721E,,14.64
CC6625A,,31.71
CT7891,,40.65
CML2850B,,40.65
CCLP510D7K,,65.04
CCLP510D5Y,,65.04
CCLP510D5M,,65.04
CCLP510D5C,,65.04
C18C0035,,34.96
C18CX032E,,17.89
C12A7344,,117.89
CTK6305,,60.98
CT7894,,32.52
CT7893,,32.52
CT7892,,32.52
CC13T06624010,,6.50
CC13T06704010,,9.76
CT008401,,15.45
CT050150,,28.46
CT037040,,18.70
CT027401,,20.33
CT026401,,20.33
CT007401,,20.33
C5110M,,97.56
C5110Y,,97.56
C5110B,,48.78
C5110C,,97.56
C3000M,,44.72
C3000C,,44.72
CCL541,,20.33
CPG540,,15.45
CCL511,,14.64
CPG510,,15.45
CTN2120X,,34.15
CML2250D5,,36.59
C106R01486,,52.85
C113R00725,,89.43
C113R00724,,89.43
C113R00726,,89.43
C92274A,,36.59
C593-10292,,121.95
CDR8000,,73.17
CT0794,,13.82
CT0793,,13.82
CT0792,,13.82
CT0791,,13.82
50383471,,56.91
50383488,,97.56
50383495,,97.56
50383501,,97.56
CT0796,,13.82
CT0795,,13.82
CTK540M,,56.91
CTK540C,,56.91
C18C0034,,28.46
C18C0033,,21.95
CT1304,,13.01
CT1303,,13.01
CT1302,,13.01
CT1301,,20.33
CC13T06614010,,6.50
CPC72,,19.52
50383624,,73.17
CCE260A,,81.30
C593-11120,,93.50
C593-11121,,93.50
C593-11122,,93.50
50383556,,52.85
50384478,,20.33
50384485,,24.39
50384492,,32.52
50384553,,81.30
50384560,,56.91
50384577,,56.91
50384584,,56.91
CCF360X,,97.56
CCF361X,,146.34
CCF362X,,146.34
CCF363X,,146.34
CCF226A,,73.17
CCF410X,,81.30
CCF411X,,81.30
CCF412X,,81.30
CCF413X,,81.30
C407254,,48.78
CC13S051173,,97.56
C407340,,40.65
CCF410A,,69.11
CCF226X,,97.56
CCB436XU,,40.65
C9380,,32.52
C18C1530,,17.89
C18C1974,,17.89
C793-5RN,,17.89
CCF411A,,69.11
CCF412A,,69.11
CCF413A,,69.11
CCLI571BKXL,,9.76
CCLI571CXL,,9.76
CCLI571GYXL,,9.76
CCLI571MXL,,9.76
CCLI571YXL,,9.76
CT2436,,13.01
CT2435,,13.01
CT2434,,13.01
CT2433,,13.01
CT2432,,13.01
CT2431,,13.01
